,x,xdot,theta,theta_dot
645,-5.21,-0.28,0.13,0.36
646,-5.24,-0.24,0.17,0.44
647,-5.27,-0.19,0.21,0.55
648,-5.29,-0.13,0.26,0.68
649,-5.30,-0.05,0.33,0.85
650,-5.30,0.05,0.42,1.06
651,-3.53,-1.27,-0.06,0.01
652,-3.66,-1.20,-0.06,0.01
653,-3.78,-1.13,-0.06,0.02
654,-3.89,-1.07,-0.06,0.02
655,-4.00,-1.01,-0.05,0.03
656,-4.10,-0.95,-0.05,0.03
657,-4.20,-0.89,-0.05,0.03
658,-4.29,-0.84,-0.05,0.03
659,-4.37,-0.79,-0.04,0.04
660,-4.45,-0.74,-0.04,0.04
661,-4.52,-0.70,-0.04,0.04
662,-4.59,-0.66,-0.03,0.04
663,-4.66,-0.62,-0.03,0.05
664,-4.72,-0.59,-0.02,0.05
665,-4.78,-0.56,-0.02,0.05
666,-4.84,-0.53,-0.01,0.06
667,-4.89,-0.50,-0.01,0.07
668,-4.94,-0.47,0.00,0.08
669,-4.99,-0.45,0.01,0.09
670,-5.03,-0.43,0.02,0.11
671,-5.07,-0.40,0.03,0.13
672,-5.11,-0.38,0.04,0.15
673,-5.15,-0.35,0.05,0.18
674,-5.19,-0.33,0.07,0.22
675,-5.22,-0.30,0.10,0.27
676,-5.25,-0.27,0.12,0.34
677,-5.28,-0.23,0.16,0.42
678,-5.30,-0.18,0.20,0.52
679,-5.32,-0.12,0.25,0.64
680,-5.33,-0.05,0.31,0.80
681,-5.33,0.05,0.39,1.00
682,-3.66,-1.20,-0.06,0.01
683,-3.78,-1.14,-0.06,0.02
684,-3.90,-1.07,-0.06,0.02
685,-4.00,-1.01,-0.05,0.02
686,-4.10,-0.95,-0.05,0.03
687,-4.20,-0.90,-0.05,0.03
688,-4.29,-0.84,-0.05,0.03
689,-4.37,-0.79,-0.04,0.03
690,-4.45,-0.75,-0.04,0.03
691,-4.53,-0.70,-0.04,0.04
692,-4.60,-0.66,-0.03,0.04
693,-4.66,-0.62,-0.03,0.04
694,-4.72,-0.59,-0.03,0.04
695,-4.78,-0.56,-0.02,0.05
696,-4.84,-0.53,-0.02,0.05
697,-4.89,-0.50,-0.01,0.06
698,-4.94,-0.47,-0.01,0.06
699,-4.99,-0.45,0.00,0.07
700,-5.03,-0.42,0.01,0.08
701,-5.08,-0.40,0.02,0.10
702,-5.12,-0.38,0.03,0.12
703,-5.15,-0.36,0.04,0.14
704,-5.19,-0.33,0.05,0.17
705,-5.22,-0.31,0.07,0.21
706,-5.25,-0.28,0.09,0.26
707,-5.28,-0.25,0.12,0.32
708,-5.31,-0.21,0.15,0.39
709,-5.33,-0.17,0.19,0.49
710,-5.35,-0.11,0.24,0.61
711,-5.36,-0.04,0.30,0.76
712,-5.36,0.04,0.37,0.94
713,-3.78,-1.14,-0.06,0.02
714,-3.90,-1.08,-0.06,0.02
715,-4.00,-1.01,-0.06,0.02
716,-4.10,-0.96,-0.05,0.02
717,-4.20,-0.90,-0.05,0.03
718,-4.29,-0.85,-0.05,0.03
719,-4.37,-0.80,-0.05,0.03
720,-4.45,-0.75,-0.04,0.03
721,-4.53,-0.70,-0.04,0.03
722,-4.60,-0.66,-0.04,0.03
723,-4.67,-0.62,-0.03,0.04
724,-4.73,-0.59,-0.03,0.04
725,-4.79,-0.56,-0.02,0.04
726,-4.84,-0.52,-0.02,0.04
727,-4.89,-0.50,-0.02,0.05
728,-4.94,-0.47,-0.01,0.05
729,-4.99,-0.44,-0.01,0.06
730,-5.04,-0.42,0.00,0.07
731,-5.08,-0.40,0.01,0.08
732,-5.12,-0.38,0.01,0.09
733,-5.16,-0.36,0.02,0.11
734,-5.19,-0.34,0.04,0.13
735,-5.23,-0.32,0.05,0.16
736,-5.26,-0.29,0.07,0.20
737,-5.29,-0.27,0.08,0.24
738,-5.31,-0.24,0.11,0.30
739,-5.34,-0.20,0.14,0.37
740,-5.36,-0.16,0.18,0.46
741,-5.37,-0.11,0.22,0.57
742,-5.38,-0.04,0.28,0.71
743,-5.39,0.04,0.35,0.89
