,x,xdot,theta,theta_dot
1709,-5.57,-0.14,-0.01,0.01
1710,-5.59,-0.13,-0.01,0.01
1711,-5.60,-0.13,-0.01,0.01
1712,-5.61,-0.12,-0.01,0.01
1713,-5.62,-0.11,-0.01,0.01
1714,-5.64,-0.11,-0.01,0.01
1715,-5.65,-0.10,-0.01,0.01
1716,-5.66,-0.09,-0.00,0.01
1717,-5.67,-0.09,-0.00,0.01
1718,-5.67,-0.08,-0.00,0.01
1719,-5.68,-0.08,-0.00,0.01
1720,-5.69,-0.07,-0.00,0.01
1721,-5.70,-0.07,-0.00,0.01
1722,-5.71,-0.07,-0.00,0.01
1723,-5.71,-0.06,0.00,0.01
1724,-5.72,-0.06,0.00,0.01
1725,-5.72,-0.06,0.00,0.02
1726,-5.73,-0.05,0.01,0.02
1727,-5.74,-0.05,0.01,0.03
1728,-5.74,-0.05,0.01,0.03
1729,-5.74,-0.04,0.01,0.04
1730,-5.75,-0.04,0.02,0.05
1731,-5.75,-0.03,0.02,0.06
1732,-5.76,-0.03,0.03,0.07
1733,-5.76,-0.02,0.03,0.09
1734,-5.76,-0.01,0.04,0.11
1735,-5.76,0.01,0.06,0.14
1736,-5.52,-0.17,-0.01,0.01
1737,-5.54,-0.16,-0.01,0.01
1738,-5.56,-0.15,-0.01,0.01
1739,-5.57,-0.14,-0.01,0.01
1740,-5.59,-0.14,-0.01,0.01
1741,-5.60,-0.13,-0.01,0.01
1742,-5.61,-0.12,-0.01,0.01
1743,-5.62,-0.11,-0.01,0.01
1744,-5.64,-0.11,-0.01,0.01
1745,-5.65,-0.10,-0.01,0.01
1746,-5.66,-0.09,-0.01,0.01
1747,-5.67,-0.09,-0.00,0.01
1748,-5.67,-0.08,-0.00,0.01
1749,-5.68,-0.08,-0.00,0.01
1750,-5.69,-0.07,-0.00,0.01
1751,-5.70,-0.07,-0.00,0.01
1752,-5.71,-0.07,-0.00,0.01
1753,-5.71,-0.06,-0.00,0.01
1754,-5.72,-0.06,0.00,0.01
1755,-5.72,-0.06,0.00,0.01
1756,-5.73,-0.05,0.00,0.02
1757,-5.74,-0.05,0.01,0.02
1758,-5.74,-0.05,0.01,0.02
1759,-5.75,-0.04,0.01,0.03
1760,-5.75,-0.04,0.01,0.04
1761,-5.75,-0.04,0.02,0.04
1762,-5.76,-0.03,0.02,0.06
1763,-5.76,-0.02,0.03,0.07
1764,-5.76,-0.02,0.03,0.09
1765,-5.76,-0.01,0.04,0.11
1766,-5.76,0.01,0.05,0.13
1767,-5.54,-0.16,-0.01,0.01
1768,-5.56,-0.15,-0.01,0.01
1769,-5.57,-0.14,-0.01,0.01
1770,-5.59,-0.14,-0.01,0.01
1771,-5.60,-0.13,-0.01,0.00
1772,-5.61,-0.12,-0.01,0.01
1773,-5.63,-0.11,-0.01,0.01
1774,-5.64,-0.11,-0.01,0.01
1775,-5.65,-0.10,-0.01,0.01
1776,-5.66,-0.09,-0.01,0.01
1777,-5.67,-0.09,-0.00,0.01
1778,-5.68,-0.08,-0.00,0.01
1779,-5.68,-0.08,-0.00,0.01
1780,-5.69,-0.07,-0.00,0.01
1781,-5.70,-0.07,-0.00,0.01
1782,-5.71,-0.07,-0.00,0.01
1783,-5.71,-0.06,-0.00,0.01
1784,-5.72,-0.06,-0.00,0.01
1785,-5.72,-0.06,0.00,0.01
1786,-5.73,-0.05,0.00,0.01
1787,-5.74,-0.05,0.00,0.02
1788,-5.74,-0.05,0.00,0.02
1789,-5.75,-0.04,0.01,0.02
1790,-5.75,-0.04,0.01,0.03
1791,-5.75,-0.04,0.01,0.03
1792,-5.76,-0.03,0.02,0.04
1793,-5.76,-0.03,0.02,0.05
1794,-5.76,-0.02,0.02,0.06
1795,-5.77,-0.02,0.03,0.08
1796,-5.77,-0.01,0.04,0.10
1797,-5.77,0.01,0.05,0.13
1798,-5.56,-0.15,-0.01,0.01
1799,-5.57,-0.14,-0.01,0.00
1800,-5.59,-0.14,-0.01,0.00
1801,-5.60,-0.13,-0.01,0.00
1802,-5.61,-0.12,-0.01,0.00
1803,-5.63,-0.11,-0.01,0.00
1804,-5.64,-0.11,-0.01,0.00
1805,-5.65,-0.10,-0.01,0.00
1806,-5.66,-0.09,-0.01,0.00
1807,-5.67,-0.09,-0.00,0.01
1808,-5.68,-0.08,-0.00,0.01
1809,-5.68,-0.08,-0.00,0.01
1810,-5.69,-0.07,-0.00,0.01
1811,-5.70,-0.07,-0.00,0.01
1812,-5.71,-0.07,-0.00,0.01
1813,-5.71,-0.06,-0.00,0.01
1814,-5.72,-0.06,-0.00,0.01
1815,-5.73,-0.06,-0.00,0.01
1816,-5.73,-0.05,0.00,0.01
1817,-5.74,-0.05,0.00,0.01
1818,-5.74,-0.05,0.00,0.01
1819,-5.75,-0.04,0.00,0.02
1820,-5.75,-0.04,0.01,0.02
1821,-5.75,-0.04,0.01,0.03
1822,-5.76,-0.04,0.01,0.03
1823,-5.76,-0.03,0.01,0.04
1824,-5.77,-0.03,0.02,0.05
1825,-5.77,-0.02,0.02,0.06
1826,-5.77,-0.01,0.03,0.08
1827,-5.77,-0.01,0.04,0.09
1828,-5.77,0.01,0.05,0.12
1829,-5.57,-0.14,-0.01,0.00
1830,-5.59,-0.14,-0.01,0.00
1831,-5.60,-0.13,-0.01,0.00
1832,-5.61,-0.12,-0.01,0.00
1833,-5.63,-0.11,-0.01,0.00
1834,-5.64,-0.11,-0.01,0.00
1835,-5.65,-0.10,-0.01,0.00
1836,-5.66,-0.09,-0.01,0.00
1837,-5.67,-0.09,-0.01,0.00
1838,-5.68,-0.08,-0.00,0.00
1839,-5.68,-0.08,-0.00,0.00
1840,-5.69,-0.07,-0.00,0.01
1841,-5.70,-0.07,-0.00,0.01
1842,-5.71,-0.07,-0.00,0.01
1843,-5.71,-0.06,-0.00,0.01
1844,-5.72,-0.06,-0.00,0.01
1845,-5.73,-0.06,-0.00,0.01
1846,-5.73,-0.05,-0.00,0.01
1847,-5.74,-0.05,0.00,0.01
1848,-5.74,-0.05,0.00,0.01
1849,-5.75,-0.05,0.00,0.01
1850,-5.75,-0.04,0.00,0.02
1851,-5.75,-0.04,0.01,0.02
1852,-5.76,-0.04,0.01,0.02
1853,-5.76,-0.03,0.01,0.03
1854,-5.77,-0.03,0.01,0.04
1855,-5.77,-0.03,0.02,0.05
1856,-5.77,-0.02,0.02,0.06
1857,-5.77,-0.01,0.03,0.07
1858,-5.77,-0.01,0.03,0.09
1859,-5.78,0.00,0.04,0.11
1860,-5.59,-0.14,-0.01,0.00
1861,-5.60,-0.13,-0.01,0.00
1862,-5.61,-0.12,-0.01,0.00
1863,-5.63,-0.11,-0.01,0.00
1864,-5.64,-0.11,-0.01,0.00
1865,-5.65,-0.10,-0.01,0.00
1866,-5.66,-0.09,-0.01,0.00
1867,-5.67,-0.09,-0.01,0.00
1868,-5.68,-0.08,-0.00,0.00
1869,-5.68,-0.08,-0.00,0.00
1870,-5.69,-0.07,-0.00,0.00
1871,-5.70,-0.07,-0.00,0.00
1872,-5.71,-0.07,-0.00,0.01
1873,-5.71,-0.06,-0.00,0.01
1874,-5.72,-0.06,-0.00,0.01
1875,-5.73,-0.06,-0.00,0.01
1876,-5.73,-0.05,-0.00,0.01
1877,-5.74,-0.05,-0.00,0.01
1878,-5.74,-0.05,0.00,0.01
1879,-5.75,-0.05,0.00,0.01
1880,-5.75,-0.04,0.00,0.01
1881,-5.76,-0.04,0.00,0.02
1882,-5.76,-0.04,0.01,0.02
1883,-5.76,-0.03,0.01,0.02
1884,-5.77,-0.03,0.01,0.03
1885,-5.77,-0.03,0.01,0.04
1886,-5.77,-0.02,0.02,0.04
1887,-5.77,-0.02,0.02,0.05
1888,-5.78,-0.01,0.03,0.07
1889,-5.78,-0.01,0.03,0.08
1890,-5.78,0.00,0.04,0.11
1891,-5.60,-0.13,-0.01,0.00
1892,-5.61,-0.12,-0.01,0.00
1893,-5.63,-0.11,-0.01,0.00
1894,-5.64,-0.11,-0.01,0.00
1895,-5.65,-0.10,-0.01,0.00
1896,-5.66,-0.10,-0.01,0.00
1897,-5.67,-0.09,-0.01,0.00
1898,-5.68,-0.08,-0.01,0.00
1899,-5.68,-0.08,-0.00,0.00
1900,-5.69,-0.07,-0.00,0.00
1901,-5.70,-0.07,-0.00,0.00
1902,-5.71,-0.07,-0.00,0.00
1903,-5.71,-0.06,-0.00,0.00
1904,-5.72,-0.06,-0.00,0.01
1905,-5.73,-0.06,-0.00,0.01
1906,-5.73,-0.05,-0.00,0.01
1907,-5.74,-0.05,-0.00,0.01
1908,-5.74,-0.05,-0.00,0.01
1909,-5.75,-0.04,0.00,0.01
1910,-5.75,-0.04,0.00,0.01
1911,-5.76,-0.04,0.00,0.01
1912,-5.76,-0.04,0.00,0.01
1913,-5.76,-0.04,0.01,0.02
1914,-5.77,-0.03,0.01,0.02
1915,-5.77,-0.03,0.01,0.03
1916,-5.77,-0.03,0.01,0.03
1917,-5.78,-0.02,0.02,0.04
1918,-5.78,-0.02,0.02,0.05
1919,-5.78,-0.01,0.02,0.06
1920,-5.78,-0.00,0.03,0.08
1921,-5.78,0.00,0.04,0.10
1922,-5.61,-0.12,-0.01,0.00
1923,-5.63,-0.11,-0.01,0.00
1924,-5.64,-0.11,-0.01,0.00
1925,-5.65,-0.10,-0.01,0.00
1926,-5.66,-0.10,-0.01,0.00
1927,-5.67,-0.09,-0.01,0.00
1928,-5.68,-0.08,-0.01,0.00
1929,-5.69,-0.08,-0.00,0.00
1930,-5.69,-0.07,-0.00,0.00
1931,-5.70,-0.07,-0.00,0.00
1932,-5.71,-0.07,-0.00,0.00
1933,-5.71,-0.06,-0.00,0.00
1934,-5.72,-0.06,-0.00,0.00
1935,-5.73,-0.06,-0.00,0.00
1936,-5.73,-0.05,-0.00,0.01
1937,-5.74,-0.05,-0.00,0.01
1938,-5.74,-0.05,-0.00,0.01
1939,-5.75,-0.04,-0.00,0.01
1940,-5.75,-0.04,0.00,0.01
1941,-5.76,-0.04,0.00,0.01
1942,-5.76,-0.04,0.00,0.01
1943,-5.76,-0.04,0.00,0.01
1944,-5.77,-0.03,0.01,0.02
1945,-5.77,-0.03,0.01,0.02
1946,-5.77,-0.03,0.01,0.03
1947,-5.78,-0.03,0.01,0.03
1948,-5.78,-0.02,0.01,0.04
1949,-5.78,-0.02,0.02,0.05
1950,-5.78,-0.01,0.02,0.06
1951,-5.78,-0.00,0.03,0.08
1952,-5.78,0.00,0.04,0.09
1953,-5.63,-0.11,-0.01,0.00
1954,-5.64,-0.11,-0.01,0.00
1955,-5.65,-0.10,-0.01,0.00
1956,-5.66,-0.10,-0.01,0.00
1957,-5.67,-0.09,-0.01,0.00
1958,-5.68,-0.09,-0.01,0.00
1959,-5.69,-0.08,-0.00,0.00
1960,-5.69,-0.08,-0.00,0.00
1961,-5.70,-0.07,-0.00,0.00
1962,-5.71,-0.07,-0.00,0.00
1963,-5.71,-0.06,-0.00,0.00
1964,-5.72,-0.06,-0.00,0.00
1965,-5.73,-0.06,-0.00,0.00
1966,-5.73,-0.05,-0.00,0.00
1967,-5.74,-0.05,-0.00,0.00
1968,-5.74,-0.05,-0.00,0.01
1969,-5.75,-0.04,-0.00,0.01
1970,-5.75,-0.04,-0.00,0.01
1971,-5.76,-0.04,0.00,0.01
1972,-5.76,-0.04,0.00,0.01
1973,-5.76,-0.04,0.00,0.01
1974,-5.77,-0.03,0.00,0.01
1975,-5.77,-0.03,0.00,0.02
1976,-5.77,-0.03,0.01,0.02
1977,-5.78,-0.03,0.01,0.02
1978,-5.78,-0.02,0.01,0.03
1979,-5.78,-0.02,0.01,0.04
1980,-5.78,-0.02,0.02,0.05
1981,-5.79,-0.01,0.02,0.06
1982,-5.79,-0.00,0.03,0.07
1983,-5.79,0.00,0.03,0.09
1984,-5.64,-0.11,-0.01,0.00
1985,-5.65,-0.10,-0.01,0.00
1986,-5.66,-0.10,-0.01,0.00
1987,-5.67,-0.09,-0.01,0.00
1988,-5.68,-0.09,-0.01,0.00
1989,-5.69,-0.08,-0.00,0.00
1990,-5.69,-0.08,-0.00,0.00
1991,-5.70,-0.07,-0.00,0.00
1992,-5.71,-0.07,-0.00,0.00
1993,-5.71,-0.06,-0.00,0.00
1994,-5.72,-0.06,-0.00,0.00
1995,-5.73,-0.06,-0.00,0.00
1996,-5.73,-0.05,-0.00,0.00
1997,-5.74,-0.05,-0.00,0.00
1998,-5.74,-0.05,-0.00,0.00
1999,-5.75,-0.04,-0.00,0.01
2000,-5.75,-0.04,-0.00,0.01
2001,-5.76,-0.04,-0.00,0.01
2002,-5.76,-0.04,0.00,0.01
2003,-5.76,-0.04,0.00,0.01
2004,-5.77,-0.03,0.00,0.01
2005,-5.77,-0.03,0.00,0.01
2006,-5.77,-0.03,0.00,0.02
2007,-5.78,-0.03,0.01,0.02
2008,-5.78,-0.03,0.01,0.02
2009,-5.78,-0.02,0.01,0.03
2010,-5.78,-0.02,0.01,0.03
2011,-5.79,-0.02,0.02,0.04
2012,-5.79,-0.01,0.02,0.05
2013,-5.79,-0.00,0.03,0.07
2014,-5.79,0.00,0.03,0.08
2015,-5.65,-0.10,-0.01,0.00
2016,-5.66,-0.10,-0.01,0.00
2017,-5.67,-0.09,-0.01,0.00
2018,-5.68,-0.09,-0.01,0.00
2019,-5.69,-0.08,-0.00,0.00
2020,-5.69,-0.08,-0.00,0.00
2021,-5.70,-0.07,-0.00,0.00
2022,-5.71,-0.07,-0.00,0.00
2023,-5.71,-0.06,-0.00,0.00
2024,-5.72,-0.06,-0.00,0.00
2025,-5.73,-0.06,-0.00,0.00
2026,-5.73,-0.05,-0.00,0.00
2027,-5.74,-0.05,-0.00,0.00
2028,-5.74,-0.05,-0.00,0.00
2029,-5.75,-0.04,-0.00,0.00
2030,-5.75,-0.04,-0.00,0.00
2031,-5.76,-0.04,-0.00,0.01
2032,-5.76,-0.04,-0.00,0.01
2033,-5.76,-0.04,0.00,0.01
2034,-5.77,-0.03,0.00,0.01
2035,-5.77,-0.03,0.00,0.01
2036,-5.77,-0.03,0.00,0.01
2037,-5.78,-0.03,0.00,0.01
2038,-5.78,-0.03,0.01,0.02
2039,-5.78,-0.02,0.01,0.02
2040,-5.78,-0.02,0.01,0.03
2041,-5.79,-0.02,0.01,0.03
2042,-5.79,-0.01,0.02,0.04
2043,-5.79,-0.01,0.02,0.05
2044,-5.79,-0.00,0.02,0.06
2045,-5.79,0.00,0.03,0.08
2046,-5.66,-0.10,-0.01,0.00
2047,-5.67,-0.09,-0.01,0.00
2048,-5.68,-0.09,-0.01,0.00
2049,-5.69,-0.08,-0.00,0.00
2050,-5.69,-0.08,-0.00,0.00
2051,-5.70,-0.07,-0.00,0.00
2052,-5.71,-0.07,-0.00,0.00
2053,-5.72,-0.06,-0.00,0.00
2054,-5.72,-0.06,-0.00,0.00
2055,-5.73,-0.06,-0.00,0.00
2056,-5.73,-0.05,-0.00,0.00
2057,-5.74,-0.05,-0.00,0.00
2058,-5.74,-0.05,-0.00,0.00
2059,-5.75,-0.04,-0.00,0.00
2060,-5.75,-0.04,-0.00,0.00
2061,-5.76,-0.04,-0.00,0.00
2062,-5.76,-0.04,-0.00,0.01
2063,-5.76,-0.04,-0.00,0.01
2064,-5.77,-0.03,0.00,0.01
2065,-5.77,-0.03,0.00,0.01
2066,-5.77,-0.03,0.00,0.01
2067,-5.78,-0.03,0.00,0.01
2068,-5.78,-0.03,0.00,0.01
2069,-5.78,-0.02,0.01,0.02
2070,-5.79,-0.02,0.01,0.02
2071,-5.79,-0.02,0.01,0.03
2072,-5.79,-0.02,0.01,0.03
2073,-5.79,-0.01,0.01,0.04
2074,-5.79,-0.01,0.02,0.05
2075,-5.79,-0.00,0.02,0.06
2076,-5.79,0.00,0.03,0.07
2077,-5.67,-0.09,-0.01,0.00
2078,-5.68,-0.09,-0.01,0.00
2079,-5.69,-0.08,-0.00,0.00
2080,-5.69,-0.08,-0.00,0.00
2081,-5.70,-0.07,-0.00,0.00
2082,-5.71,-0.07,-0.00,0.00
2083,-5.72,-0.06,-0.00,0.00
2084,-5.72,-0.06,-0.00,0.00
2085,-5.73,-0.06,-0.00,0.00
2086,-5.73,-0.05,-0.00,0.00
2087,-5.74,-0.05,-0.00,0.00
2088,-5.74,-0.05,-0.00,0.00
2089,-5.75,-0.04,-0.00,0.00
2090,-5.75,-0.04,-0.00,0.00
2091,-5.76,-0.04,-0.00,0.00
2092,-5.76,-0.04,-0.00,0.00
2093,-5.76,-0.04,-0.00,0.00
2094,-5.77,-0.03,-0.00,0.01
2095,-5.77,-0.03,0.00,0.01
2096,-5.77,-0.03,0.00,0.01
2097,-5.78,-0.03,0.00,0.01
2098,-5.78,-0.03,0.00,0.01
2099,-5.78,-0.03,0.00,0.01
2100,-5.79,-0.02,0.01,0.02
2101,-5.79,-0.02,0.01,0.02
2102,-5.79,-0.02,0.01,0.02
2103,-5.79,-0.02,0.01,0.03
2104,-5.79,-0.01,0.01,0.04
2105,-5.79,-0.01,0.02,0.05
2106,-5.80,-0.00,0.02,0.06
2107,-5.80,0.00,0.03,0.07
2108,-5.68,-0.09,-0.01,0.00
2109,-5.69,-0.08,-0.00,0.00
2110,-5.69,-0.08,-0.00,0.00
2111,-5.70,-0.07,-0.00,0.00
2112,-5.71,-0.07,-0.00,0.00
2113,-5.72,-0.06,-0.00,0.00
2114,-5.72,-0.06,-0.00,0.00
2115,-5.73,-0.06,-0.00,0.00
2116,-5.73,-0.05,-0.00,0.00
2117,-5.74,-0.05,-0.00,0.00
2118,-5.74,-0.05,-0.00,0.00
2119,-5.75,-0.04,-0.00,0.00
2120,-5.75,-0.04,-0.00,0.00
2121,-5.76,-0.04,-0.00,0.00
2122,-5.76,-0.04,-0.00,0.00
2123,-5.76,-0.04,-0.00,0.00
2124,-5.77,-0.03,-0.00,0.00
2125,-5.77,-0.03,-0.00,0.01
2126,-5.77,-0.03,0.00,0.01
2127,-5.78,-0.03,0.00,0.01
2128,-5.78,-0.03,0.00,0.01
2129,-5.78,-0.03,0.00,0.01
2130,-5.79,-0.02,0.00,0.01
2131,-5.79,-0.02,0.00,0.01
2132,-5.79,-0.02,0.01,0.02
2133,-5.79,-0.02,0.01,0.02
2134,-5.79,-0.02,0.01,0.03
2135,-5.80,-0.01,0.01,0.03
2136,-5.80,-0.01,0.02,0.04
2137,-5.80,-0.00,0.02,0.05
2138,-5.80,0.00,0.03,0.07
2139,-5.69,-0.08,-0.00,0.00
2140,-5.69,-0.08,-0.00,0.00
2141,-5.70,-0.07,-0.00,0.00
2142,-5.71,-0.07,-0.00,0.00
2143,-5.72,-0.06,-0.00,0.00
2144,-5.72,-0.06,-0.00,0.00
2145,-5.73,-0.06,-0.00,0.00
2146,-5.73,-0.05,-0.00,0.00
2147,-5.74,-0.05,-0.00,0.00
2148,-5.74,-0.05,-0.00,0.00
2149,-5.75,-0.04,-0.00,0.00
2150,-5.75,-0.04,-0.00,0.00
2151,-5.76,-0.04,-0.00,0.00
2152,-5.76,-0.04,-0.00,0.00
2153,-5.76,-0.04,-0.00,0.00
2154,-5.77,-0.03,-0.00,0.00
2155,-5.77,-0.03,-0.00,0.00
2156,-5.77,-0.03,-0.00,0.00
2157,-5.78,-0.03,0.00,0.01
2158,-5.78,-0.03,0.00,0.01
2159,-5.78,-0.03,0.00,0.01
2160,-5.79,-0.02,0.00,0.01
2161,-5.79,-0.02,0.00,0.01
2162,-5.79,-0.02,0.00,0.01
2163,-5.79,-0.02,0.01,0.02
2164,-5.79,-0.02,0.01,0.02
2165,-5.80,-0.01,0.01,0.03
2166,-5.80,-0.01,0.01,0.03
2167,-5.80,-0.01,0.02,0.04
2168,-5.80,-0.00,0.02,0.05
2169,-5.80,0.00,0.02,0.06
2170,-5.69,-0.08,-0.00,0.00
2171,-5.70,-0.07,-0.00,0.00
2172,-5.71,-0.07,-0.00,0.00
2173,-5.72,-0.06,-0.00,0.00
2174,-5.72,-0.06,-0.00,0.00
2175,-5.73,-0.06,-0.00,0.00
2176,-5.73,-0.05,-0.00,0.00
2177,-5.74,-0.05,-0.00,0.00
2178,-5.74,-0.05,-0.00,0.00
2179,-5.75,-0.04,-0.00,0.00
2180,-5.75,-0.04,-0.00,0.00
2181,-5.76,-0.04,-0.00,0.00
2182,-5.76,-0.04,-0.00,0.00
2183,-5.76,-0.04,-0.00,0.00
2184,-5.77,-0.03,-0.00,0.00
2185,-5.77,-0.03,-0.00,0.00
2186,-5.77,-0.03,-0.00,0.00
2187,-5.78,-0.03,-0.00,0.00
2188,-5.78,-0.03,0.00,0.01
2189,-5.78,-0.03,0.00,0.01
2190,-5.79,-0.02,0.00,0.01
2191,-5.79,-0.02,0.00,0.01
2192,-5.79,-0.02,0.00,0.01
2193,-5.79,-0.02,0.00,0.01
2194,-5.79,-0.02,0.01,0.02
2195,-5.80,-0.02,0.01,0.02
2196,-5.80,-0.01,0.01,0.02
2197,-5.80,-0.01,0.01,0.03
2198,-5.80,-0.01,0.01,0.04
2199,-5.80,-0.00,0.02,0.05
2200,-5.80,0.00,0.02,0.06
2201,-5.70,-0.07,-0.00,0.00
2202,-5.71,-0.07,-0.00,0.00
2203,-5.72,-0.06,-0.00,0.00
2204,-5.72,-0.06,-0.00,0.00
2205,-5.73,-0.06,-0.00,0.00
2206,-5.73,-0.05,-0.00,0.00
2207,-5.74,-0.05,-0.00,0.00
2208,-5.74,-0.05,-0.00,0.00
2209,-5.75,-0.04,-0.00,0.00
2210,-5.75,-0.04,-0.00,0.00
2211,-5.76,-0.04,-0.00,0.00
2212,-5.76,-0.04,-0.00,0.00
2213,-5.77,-0.04,-0.00,0.00
2214,-5.77,-0.03,-0.00,0.00
2215,-5.77,-0.03,-0.00,0.00
2216,-5.78,-0.03,-0.00,0.00
2217,-5.78,-0.03,-0.00,0.00
2218,-5.78,-0.03,-0.00,0.00
2219,-5.78,-0.03,0.00,0.01
2220,-5.79,-0.02,0.00,0.01
2221,-5.79,-0.02,0.00,0.01
2222,-5.79,-0.02,0.00,0.01
2223,-5.79,-0.02,0.00,0.01
2224,-5.79,-0.02,0.00,0.01
2225,-5.80,-0.02,0.01,0.02
2226,-5.80,-0.01,0.01,0.02
2227,-5.80,-0.01,0.01,0.02
2228,-5.80,-0.01,0.01,0.03
2229,-5.80,-0.01,0.01,0.04
2230,-5.80,-0.00,0.02,0.04
2231,-5.80,0.00,0.02,0.06
2232,-5.71,-0.07,-0.00,0.00
2233,-5.72,-0.06,-0.00,0.00
2234,-5.72,-0.06,-0.00,0.00
2235,-5.73,-0.06,-0.00,0.00
2236,-5.73,-0.05,-0.00,0.00
2237,-5.74,-0.05,-0.00,0.00
2238,-5.74,-0.05,-0.00,0.00
2239,-5.75,-0.04,-0.00,0.00
2240,-5.75,-0.04,-0.00,0.00
2241,-5.76,-0.04,-0.00,0.00
2242,-5.76,-0.04,-0.00,0.00
2243,-5.77,-0.04,-0.00,0.00
2244,-5.77,-0.03,-0.00,0.00
2245,-5.77,-0.03,-0.00,0.00
2246,-5.78,-0.03,-0.00,0.00
2247,-5.78,-0.03,-0.00,0.00
2248,-5.78,-0.03,-0.00,0.00
2249,-5.78,-0.03,-0.00,0.00
2250,-5.79,-0.02,0.00,0.00
2251,-5.79,-0.02,0.00,0.01
2252,-5.79,-0.02,0.00,0.01
2253,-5.79,-0.02,0.00,0.01
2254,-5.79,-0.02,0.00,0.01
2255,-5.80,-0.02,0.00,0.01
2256,-5.80,-0.02,0.01,0.01
2257,-5.80,-0.01,0.01,0.02
2258,-5.80,-0.01,0.01,0.02
2259,-5.80,-0.01,0.01,0.03
2260,-5.80,-0.01,0.01,0.03
2261,-5.80,-0.00,0.02,0.04
2262,-5.80,0.00,0.02,0.05
2263,-5.72,-0.06,-0.00,0.00
2264,-5.72,-0.06,-0.00,0.00
2265,-5.73,-0.06,-0.00,0.00
2266,-5.73,-0.05,-0.00,0.00
2267,-5.74,-0.05,-0.00,0.00
2268,-5.74,-0.05,-0.00,0.00
2269,-5.75,-0.04,-0.00,0.00
2270,-5.75,-0.04,-0.00,0.00
2271,-5.76,-0.04,-0.00,0.00
2272,-5.76,-0.04,-0.00,0.00
2273,-5.77,-0.04,-0.00,0.00
2274,-5.77,-0.03,-0.00,0.00
2275,-5.77,-0.03,-0.00,0.00
2276,-5.78,-0.03,-0.00,0.00
2277,-5.78,-0.03,-0.00,0.00
2278,-5.78,-0.03,-0.00,0.00
2279,-5.78,-0.03,-0.00,0.00
2280,-5.79,-0.02,-0.00,0.00
2281,-5.79,-0.02,0.00,0.00
2282,-5.79,-0.02,0.00,0.01
2283,-5.79,-0.02,0.00,0.01
2284,-5.80,-0.02,0.00,0.01
2285,-5.80,-0.02,0.00,0.01
2286,-5.80,-0.02,0.00,0.01
2287,-5.80,-0.01,0.00,0.01
2288,-5.80,-0.01,0.01,0.02
2289,-5.80,-0.01,0.01,0.02
2290,-5.80,-0.01,0.01,0.03
2291,-5.81,-0.01,0.01,0.03
2292,-5.81,-0.00,0.02,0.04
2293,-5.81,0.00,0.02,0.05
2294,-5.72,-0.06,-0.00,0.00
2295,-5.73,-0.06,-0.00,0.00
2296,-5.73,-0.05,-0.00,0.00
2297,-5.74,-0.05,-0.00,0.00
2298,-5.74,-0.05,-0.00,0.00
2299,-5.75,-0.05,-0.00,0.00
2300,-5.75,-0.04,-0.00,0.00
2301,-5.76,-0.04,-0.00,0.00
2302,-5.76,-0.04,-0.00,0.00
2303,-5.77,-0.04,-0.00,0.00
2304,-5.77,-0.03,-0.00,0.00
2305,-5.77,-0.03,-0.00,0.00
2306,-5.78,-0.03,-0.00,0.00
2307,-5.78,-0.03,-0.00,0.00
2308,-5.78,-0.03,-0.00,0.00
2309,-5.78,-0.02,-0.00,0.00
2310,-5.79,-0.02,-0.00,0.00
2311,-5.79,-0.02,-0.00,0.00
2312,-5.79,-0.02,0.00,0.00
2313,-5.79,-0.02,0.00,0.00
2314,-5.80,-0.02,0.00,0.01
2315,-5.80,-0.02,0.00,0.01
2316,-5.80,-0.02,0.00,0.01
2317,-5.80,-0.02,0.00,0.01
2318,-5.80,-0.01,0.00,0.01
2319,-5.80,-0.01,0.01,0.02
2320,-5.80,-0.01,0.01,0.02
2321,-5.81,-0.01,0.01,0.02
2322,-5.81,-0.01,0.01,0.03
2323,-5.81,-0.00,0.01,0.04
2324,-5.81,0.00,0.02,0.05
2325,-5.73,-0.06,-0.00,0.00
2326,-5.73,-0.05,-0.00,0.00
2327,-5.74,-0.05,-0.00,0.00
2328,-5.74,-0.05,-0.00,0.00
2329,-5.75,-0.05,-0.00,0.00
2330,-5.75,-0.04,-0.00,0.00
2331,-5.76,-0.04,-0.00,0.00
2332,-5.76,-0.04,-0.00,0.00
2333,-5.77,-0.04,-0.00,0.00
2334,-5.77,-0.03,-0.00,0.00
2335,-5.77,-0.03,-0.00,0.00
2336,-5.78,-0.03,-0.00,0.00
2337,-5.78,-0.03,-0.00,0.00
2338,-5.78,-0.03,-0.00,0.00
2339,-5.78,-0.02,-0.00,0.00
2340,-5.79,-0.02,-0.00,0.00
2341,-5.79,-0.02,-0.00,0.00
2342,-5.79,-0.02,-0.00,0.00
2343,-5.79,-0.02,0.00,0.00
2344,-5.80,-0.02,0.00,0.00
2345,-5.80,-0.02,0.00,0.01
2346,-5.80,-0.02,0.00,0.01
2347,-5.80,-0.02,0.00,0.01
2348,-5.80,-0.01,0.00,0.01
2349,-5.80,-0.01,0.00,0.01
2350,-5.81,-0.01,0.01,0.01
2351,-5.81,-0.01,0.01,0.02
2352,-5.81,-0.01,0.01,0.02
2353,-5.81,-0.01,0.01,0.03
2354,-5.81,-0.00,0.01,0.04
2355,-5.81,0.00,0.02,0.04
2356,-5.73,-0.05,-0.00,0.00
2357,-5.74,-0.05,-0.00,0.00
