,u
1723,0.05
1724,0.04
1725,0.04
1726,0.04
1727,0.03
1728,0.03
1729,0.02
1730,0.02
1731,0.02
1732,0.01
1733,0.01
1734,0.01
1735,0.00
1736,0.00
1737,0.00
1738,-0.00
1739,-0.00
1740,0.11
1741,0.11
1742,0.10
1743,0.10
1744,0.09
1745,0.09
1746,0.08
1747,0.08
1748,0.07
1749,0.07
1750,0.06
1751,0.06
1752,0.05
1753,0.05
1754,0.04
1755,0.04
1756,0.03
1757,0.03
1758,0.03
1759,0.02
1760,0.02
1761,0.02
1762,0.01
1763,0.01
1764,0.01
1765,0.00
1766,0.00
1767,0.00
1768,-0.00
1769,-0.00
1770,0.11
1771,0.10
1772,0.10
1773,0.09
1774,0.09
1775,0.08
1776,0.08
1777,0.07
1778,0.07
1779,0.06
1780,0.06
1781,0.05
1782,0.05
1783,0.04
1784,0.04
1785,0.04
1786,0.03
1787,0.03
1788,0.02
1789,0.02
1790,0.02
1791,0.01
1792,0.01
1793,0.01
1794,0.01
1795,0.00
1796,0.00
1797,0.00
1798,-0.00
1799,-0.00
1800,0.10
1801,0.10
1802,0.09
1803,0.09
1804,0.08
1805,0.08
1806,0.07
1807,0.07
1808,0.06
1809,0.06
1810,0.05
1811,0.05
1812,0.05
1813,0.04
1814,0.04
1815,0.03
1816,0.03
1817,0.03
1818,0.02
1819,0.02
1820,0.02
1821,0.01
1822,0.01
1823,0.01
1824,0.01
1825,0.00
1826,0.00
1827,0.00
1828,-0.00
1829,-0.00
1830,0.10
1831,0.09
1832,0.09
1833,0.08
1834,0.08
1835,0.07
1836,0.07
1837,0.07
1838,0.06
1839,0.06
1840,0.05
1841,0.05
1842,0.04
1843,0.04
1844,0.04
1845,0.03
1846,0.03
1847,0.02
1848,0.02
1849,0.02
1850,0.02
1851,0.01
1852,0.01
1853,0.01
1854,0.01
1855,0.00
1856,0.00
1857,0.00
1858,-0.00
1859,-0.00
1860,0.09
1861,0.09
1862,0.08
1863,0.08
1864,0.08
1865,0.07
1866,0.07
1867,0.06
1868,0.06
1869,0.05
1870,0.05
1871,0.04
1872,0.04
1873,0.04
1874,0.03
1875,0.03
1876,0.03
1877,0.02
1878,0.02
1879,0.02
1880,0.01
1881,0.01
1882,0.01
1883,0.01
1884,0.01
1885,0.00
1886,0.00
1887,0.00
1888,-0.00
1889,-0.00
1890,0.08
1891,0.08
1892,0.08
1893,0.07
1894,0.07
1895,0.07
1896,0.06
1897,0.06
1898,0.05
1899,0.05
